what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726126215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726136292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726162580
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1365726163093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726163489
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1365726164107
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726174064
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726176411
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726179440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726181927
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726182015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726182079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726196345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726206958
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726207136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726209950
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726210042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726210066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726234023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726235397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726236024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726238106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726238778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726239172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726241174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726242375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726244343
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1365726248031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726248353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726253130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726255759
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726255856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726255891
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.debug.core"".",1365726260217
error,log,,,"An exception occurred during launch change notification.",1365726260231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726266485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726267783
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1365726270927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726271573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726273740
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726273854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726273892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726299724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726303587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726382705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726391156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726395710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726397890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726400865
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1365726401390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726401720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726412879
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726412975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726413003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726424172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726426031
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726426145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726426237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726440925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365726446741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365726449385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726449756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365726452825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726456921
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1365726457002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726457042
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365726468191
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726473873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365726482532
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726484479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726513333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365726514166
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365726515706
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365726515759
